idWeeks;datStart;datEnd;nYear;nMonth;nCalendarWeek
111;2000-02-14;2000-02-20;2000;2;8
112;2000-02-21;2000-02-27;2000;2;9
113;2000-02-28;2000-03-05;2000;2;10
114;2000-03-06;2000-03-12;2000;3;11
115;2000-03-13;2000-03-19;2000;3;12
116;2000-03-20;2000-03-26;2000;3;13
117;2000-03-27;2000-04-02;2000;3;14
118;2000-04-03;2000-04-09;2000;4;15
119;2000-04-10;2000-04-16;2000;4;16
120;2000-04-17;2000-04-23;2000;4;17
121;2000-04-24;2000-04-30;2000;4;18
122;2000-05-01;2000-05-07;2000;5;19
123;2000-05-08;2000-05-14;2000;5;20
124;2000-05-15;2000-05-21;2000;5;21
125;2000-05-22;2000-05-28;2000;5;22
126;2000-05-29;2000-06-04;2000;5;23
127;2000-06-05;2000-06-11;2000;6;24
128;2000-06-12;2000-06-18;2000;6;25
129;2000-06-19;2000-06-25;2000;6;26
130;2000-06-26;2000-07-02;2000;6;27
131;2000-07-03;2000-07-09;2000;7;28
132;2000-07-10;2000-07-16;2000;7;29
133;2000-07-17;2000-07-23;2000;7;30
134;2000-07-24;2000-07-30;2000;7;31
135;2000-07-31;2000-08-06;2000;7;32
136;2000-08-07;2000-08-13;2000;8;33
137;2000-08-14;2000-08-20;2000;8;34
138;2000-08-21;2000-08-27;2000;8;35
139;2000-08-28;2000-09-03;2000;8;36
140;2000-09-04;2000-09-10;2000;9;37
141;2000-09-11;2000-09-17;2000;9;38
142;2000-09-18;2000-09-24;2000;9;39
143;2000-09-25;2000-10-01;2000;9;40
144;2000-10-02;2000-10-08;2000;10;41
145;2000-10-09;2000-10-15;2000;10;42
146;2000-10-16;2000-10-22;2000;10;43
147;2000-10-23;2000-10-29;2000;10;44
148;2000-10-30;2000-11-05;2000;10;45
149;2000-11-06;2000-11-12;2000;11;46
150;2000-11-13;2000-11-19;2000;11;47
151;2000-11-20;2000-11-26;2000;11;48
152;2000-11-27;2000-12-03;2000;11;49
153;2000-12-04;2000-12-10;2000;12;50
154;2000-12-11;2000-12-17;2000;12;51
155;2000-12-18;2000-12-24;2000;12;52
156;2000-12-25;2000-12-31;2000;12;53
157;2001-01-01;2001-01-07;2001;1;1
158;2001-01-08;2001-01-14;2001;1;2
159;2001-01-15;2001-01-21;2001;1;3
160;2001-01-22;2001-01-28;2001;1;4
161;2001-01-29;2001-02-04;2001;1;5
162;2001-02-05;2001-02-11;2001;2;6
163;2001-02-12;2001-02-18;2001;2;7
164;2001-02-19;2001-02-25;2001;2;8
165;2001-02-26;2001-03-04;2001;2;9
166;2001-03-05;2001-03-11;2001;3;10
167;2001-03-12;2001-03-18;2001;3;11
168;2001-03-19;2001-03-25;2001;3;12
169;2001-03-26;2001-04-01;2001;3;13
170;2001-04-02;2001-04-08;2001;4;14
171;2001-04-09;2001-04-15;2001;4;15
172;2001-04-16;2001-04-22;2001;4;16
173;2001-04-23;2001-04-29;2001;4;17
174;2001-04-30;2001-05-06;2001;4;18
175;2001-05-07;2001-05-13;2001;5;19
176;2001-05-14;2001-05-20;2001;5;20
177;2001-05-21;2001-05-27;2001;5;21
178;2001-05-28;2001-06-03;2001;5;22
179;2001-06-04;2001-06-10;2001;6;23
180;2001-06-11;2001-06-17;2001;6;24
181;2001-06-18;2001-06-24;2001;6;25
182;2001-06-25;2001-07-01;2001;6;26
183;2001-07-02;2001-07-08;2001;7;27
184;2001-07-09;2001-07-15;2001;7;28
185;2001-07-16;2001-07-22;2001;7;29
186;2001-07-23;2001-07-29;2001;7;30
187;2001-07-30;2001-08-05;2001;7;31
188;2001-08-06;2001-08-12;2001;8;32
189;2001-08-13;2001-08-19;2001;8;33
190;2001-08-20;2001-08-26;2001;8;34
191;2001-08-27;2001-09-02;2001;8;35
192;2001-09-03;2001-09-09;2001;9;36
193;2001-09-10;2001-09-16;2001;9;37
194;2001-09-17;2001-09-23;2001;9;38
195;2001-09-24;2001-09-30;2001;9;39
196;2001-10-01;2001-10-07;2001;10;40
197;2001-10-08;2001-10-14;2001;10;41
198;2001-10-15;2001-10-21;2001;10;42
199;2001-10-22;2001-10-28;2001;10;43
200;2001-10-29;2001-11-04;2001;10;44
201;2001-11-05;2001-11-11;2001;11;45
202;2001-11-12;2001-11-18;2001;11;46
203;2001-11-19;2001-11-25;2001;11;47
204;2001-11-26;2001-12-02;2001;11;48
205;2001-12-03;2001-12-09;2001;12;49
206;2001-12-10;2001-12-16;2001;12;50
207;2001-12-17;2001-12-23;2001;12;51
208;2001-12-24;2001-12-30;2001;12;52
209;2001-12-31;2002-01-06;2001;12;53
210;2002-01-07;2002-01-13;2002;1;2
211;2002-01-14;2002-01-20;2002;1;3
212;2002-01-21;2002-01-27;2002;1;4
213;2002-01-28;2002-02-03;2002;1;5
214;2002-02-04;2002-02-10;2002;2;6
215;2002-02-11;2002-02-17;2002;2;7
216;2002-02-18;2002-02-24;2002;2;8
217;2002-02-25;2002-03-03;2002;2;9
218;2002-03-04;2002-03-10;2002;3;10
219;2002-03-11;2002-03-17;2002;3;11
220;2002-03-18;2002-03-24;2002;3;12
221;2002-03-25;2002-03-31;2002;3;13
222;2002-04-01;2002-04-07;2002;4;14
223;2002-04-08;2002-04-14;2002;4;15
224;2002-04-15;2002-04-21;2002;4;16
225;2002-04-22;2002-04-28;2002;4;17
226;2002-04-29;2002-05-05;2002;4;18
227;2002-05-06;2002-05-12;2002;5;19
228;2002-05-13;2002-05-19;2002;5;20
229;2002-05-20;2002-05-26;2002;5;21
230;2002-05-27;2002-06-02;2002;5;22
231;2002-06-03;2002-06-09;2002;6;23
232;2002-06-10;2002-06-16;2002;6;24
233;2002-06-17;2002-06-23;2002;6;25
234;2002-06-24;2002-06-30;2002;6;26
235;2002-07-01;2002-07-07;2002;7;27
236;2002-07-08;2002-07-14;2002;7;28
237;2002-07-15;2002-07-21;2002;7;29
238;2002-07-22;2002-07-28;2002;7;30
239;2002-07-29;2002-08-04;2002;7;31
240;2002-08-05;2002-08-11;2002;8;32
241;2002-08-12;2002-08-18;2002;8;33
242;2002-08-19;2002-08-25;2002;8;34
243;2002-08-26;2002-09-01;2002;8;35
244;2002-09-02;2002-09-08;2002;9;36
245;2002-09-09;2002-09-15;2002;9;37
246;2002-09-16;2002-09-22;2002;9;38
247;2002-09-23;2002-09-29;2002;9;39
248;2002-09-30;2002-10-06;2002;9;40
249;2002-10-07;2002-10-13;2002;10;41
250;2002-10-14;2002-10-20;2002;10;42
251;2002-10-21;2002-10-27;2002;10;43
252;2002-10-28;2002-11-03;2002;10;44
253;2002-11-04;2002-11-10;2002;11;45
254;2002-11-11;2002-11-17;2002;11;46
255;2002-11-18;2002-11-24;2002;11;47
256;2002-11-25;2002-12-01;2002;11;48
257;2002-12-02;2002-12-08;2002;12;49
258;2002-12-09;2002-12-15;2002;12;50
259;2002-12-16;2002-12-22;2002;12;51
260;2002-12-23;2002-12-29;2002;12;52
261;2002-12-30;2003-01-05;2002;12;53
262;2003-01-06;2003-01-12;2003;1;2
263;2003-01-13;2003-01-19;2003;1;3
264;2003-01-20;2003-01-26;2003;1;4
265;2003-01-27;2003-02-02;2003;1;5
266;2003-02-03;2003-02-09;2003;2;6
267;2003-02-10;2003-02-16;2003;2;7
268;2003-02-17;2003-02-23;2003;2;8
269;2003-02-24;2003-03-02;2003;2;9
270;2003-03-03;2003-03-09;2003;3;10
