iata_code,id_0,id_1,id_2,id_3,id_4,id_5
ACJ,lka_217_gadm2-8,lka_217_2_gadm2-8,lka_217_2_31_gadm2-8,,,
ACK,usa_244_gadm2-8,usa_244_22_gadm2-8,usa_244_22_1225_gadm2-8,,,
ACL,col_53_gadm2-8,col_53_10_gadm2-8,col_53_10_400_gadm2-8,,,
ACM,col_53_gadm2-8,col_53_1_gadm2-8,col_53_1_8_gadm2-8,,,
ACN,mex_145_gadm2-8,mex_145_7_gadm2-8,mex_145_7_202_gadm2-8,,,
ACO,che_223_gadm2-8,che_223_21_gadm2-8,che_223_21_126_gadm2-8,che_223_21_126_1883_gadm2-8,,
ACP,irn_107_gadm2-8,irn_107_5_gadm2-8,irn_107_5_31_gadm2-8,,,
ACR,col_53_gadm2-8,col_53_9_gadm2-8,col_53_9_386_gadm2-8,,,
ACS,rus_188_gadm2-8,rus_188_35_gadm2-8,rus_188_35_893_gadm2-8,rus_188_35_893_893_gadm2-8,,
ACT,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2688_gadm2-8,,,
ACU,pan_174_gadm2-8,pan_174_5_gadm2-8,pan_174_5_29_gadm2-8,pan_174_5_29_200_gadm2-8,,
ACV,usa_244_gadm2-8,usa_244_5_gadm2-8,usa_244_5_195_gadm2-8,,,
ACX,chn_49_gadm2-8,chn_49_8_gadm2-8,chn_49_8_84_gadm2-8,chn_49_8_84_515_gadm2-8,,
ACY,usa_244_gadm2-8,usa_244_31_gadm2-8,usa_244_31_1777_gadm2-8,,,
ACZ,irn_107_gadm2-8,irn_107_26_gadm2-8,irn_107_26_227_gadm2-8,,,
ADA,tur_235_gadm2-8,tur_235_4_gadm2-8,tur_235_4_48_gadm2-8,,,
ADB,tur_235_gadm2-8,tur_235_41_gadm2-8,tur_235_41_487_gadm2-8,,,
ADC,png_175_gadm2-8,png_175_6_gadm2-8,png_175_6_29_gadm2-8,,,
ADD,eth_74_gadm2-8,eth_74_1_gadm2-8,eth_74_1_1_gadm2-8,eth_74_1_1_8_gadm2-8,,
ADE,yem_254_gadm2-8,yem_254_1_gadm2-8,yem_254_1_6_gadm2-8,,,
ADF,tur_235_gadm2-8,tur_235_5_gadm2-8,tur_235_5_57_gadm2-8,,,
ADG,usa_244_gadm2-8,usa_244_23_gadm2-8,usa_244_23_1279_gadm2-8,,,
ADH,rus_188_gadm2-8,rus_188_61_gadm2-8,rus_188_61_1718_gadm2-8,rus_188_61_1718_1835_gadm2-8,,
ADI,nam_155_gadm2-8,nam_155_2_gadm2-8,nam_155_2_7_gadm2-8,,,
ADJ,jor_116_gadm2-8,jor_116_2_gadm2-8,jor_116_2_9_gadm2-8,,,
ADK,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_69_gadm2-8,,,
ADL,aus_15_gadm2-8,aus_15_8_gadm2-8,aus_15_8_1004_gadm2-8,,,
ADM,usa_244_gadm2-8,usa_244_37_gadm2-8,usa_244_37_2145_gadm2-8,,,
ADN,col_53_gadm2-8,col_53_2_gadm2-8,col_53_2_14_gadm2-8,,,
ADO,aus_15_gadm2-8,aus_15_8_gadm2-8,aus_15_8_986_gadm2-8,,,
ADP,lka_217_gadm2-8,lka_217_1_gadm2-8,lka_217_1_4_gadm2-8,,,
ADQ,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_80_gadm2-8,,,
ADR,usa_244_gadm2-8,usa_244_41_gadm2-8,usa_244_41_2342_gadm2-8,,,
ADS,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2584_gadm2-8,,,
ADT,usa_244_gadm2-8,usa_244_37_gadm2-8,usa_244_37_2197_gadm2-8,,,
ADU,irn_107_gadm2-8,irn_107_2_gadm2-8,irn_107_2_5_gadm2-8,,,
ADV,sdn_218_gadm2-8,sdn_218_5_gadm2-8,sdn_218_5_20_gadm2-8,sdn_218_5_20_69_gadm2-8,,
ADW,usa_244_gadm2-8,usa_244_21_gadm2-8,usa_244_21_1208_gadm2-8,,,
ADX,gbr_242_gadm2-8,gbr_242_3_gadm2-8,gbr_242_3_153_gadm2-8,,,
ADY,zaf_211_gadm2-8,zaf_211_5_gadm2-8,zaf_211_5_30_gadm2-8,zaf_211_5_30_122_gadm2-8,zaf_211_5_30_122_2396_gadm2-8,
ADZ,col_53_gadm2-8,col_53_26_gadm2-8,col_53_26_854_gadm2-8,,,
AEA,,,,,,
AEB,chn_49_gadm2-8,chn_49_7_gadm2-8,chn_49_7_64_gadm2-8,chn_49_7_64_370_gadm2-8,,
AED,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_80_gadm2-8,,,
AEE,ssd_214_gadm2-8,ssd_214_7_gadm2-8,ssd_214_7_32_gadm2-8,ssd_214_7_32_34_gadm2-8,,
AEG,idn_106_gadm2-8,idn_106_33_gadm2-8,idn_106_33_435_gadm2-8,,,
AEH,tcd_47_gadm2-8,tcd_47_17_gadm2-8,tcd_47_17_42_gadm2-8,tcd_47_17_42_257_gadm2-8,,
AEI,esp_215_gadm2-8,esp_215_1_gadm2-8,esp_215_1_2_gadm2-8,esp_215_1_2_11_gadm2-8,esp_215_1_2_11_111_gadm2-8,
AEK,png_175_gadm2-8,png_175_14_gadm2-8,png_175_14_62_gadm2-8,,,
AEL,usa_244_gadm2-8,usa_244_24_gadm2-8,usa_244_24_1340_gadm2-8,,,
AEO,mrt_142_gadm2-8,mrt_142_8_gadm2-8,mrt_142_8_27_gadm2-8,,,
AEP,arg_12_gadm2-8,arg_12_6_gadm2-8,arg_12_6_210_gadm2-8,,,
AER,rus_188_gadm2-8,rus_188_34_gadm2-8,rus_188_34_880_gadm2-8,rus_188_34_880_880_gadm2-8,,
AES,,,,,,
AET,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_93_gadm2-8,,,
AEU,irn_107_gadm2-8,irn_107_11_gadm2-8,irn_107_11_94_gadm2-8,,,
AEX,usa_244_gadm2-8,usa_244_19_gadm2-8,usa_244_19_1152_gadm2-8,,,
AEY,isl_104_gadm2-8,isl_104_2_gadm2-8,isl_104_2_21_gadm2-8,,,
AFA,arg_12_gadm2-8,arg_12_13_gadm2-8,arg_12_13_332_gadm2-8,,,
AFD,zaf_211_gadm2-8,zaf_211_1_gadm2-8,zaf_211_1_4_gadm2-8,zaf_211_1_4_20_gadm2-8,zaf_211_1_4_20_336_gadm2-8,
AFF,usa_244_gadm2-8,usa_244_6_gadm2-8,usa_244_6_243_gadm2-8,,,
AFI,col_53_gadm2-8,col_53_2_gadm2-8,col_53_2_13_gadm2-8,,,
AFK,lka_217_gadm2-8,lka_217_1_gadm2-8,lka_217_1_4_gadm2-8,,,
AFL,bra_33_gadm2-8,bra_33_12_gadm2-8,bra_33_12_1418_gadm2-8,bra_33_12_1418_2909_gadm2-8,,
AFN,usa_244_gadm2-8,usa_244_30_gadm2-8,usa_244_30_1769_gadm2-8,,,
AFO,usa_244_gadm2-8,usa_244_51_gadm2-8,usa_244_51_3137_gadm2-8,,,
AFP,usa_244_gadm2-8,usa_244_34_gadm2-8,usa_244_34_1897_gadm2-8,,,
AFR,png_175_gadm2-8,png_175_17_gadm2-8,png_175_17_68_gadm2-8,,,
AFS,uzb_246_gadm2-8,uzb_246_9_gadm2-8,uzb_246_9_107_gadm2-8,,,
AFT,slb_209_gadm2-8,slb_209_7_gadm2-8,slb_209_7_112_gadm2-8,,,
AFW,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2747_gadm2-8,,,
AFY,tur_235_gadm2-8,tur_235_6_gadm2-8,tur_235_6_75_gadm2-8,,,
AFZ,irn_107_gadm2-8,irn_107_24_gadm2-8,irn_107_24_213_gadm2-8,,,
AGA,mar_152_gadm2-8,mar_152_12_gadm2-8,mar_152_12_38_gadm2-8,mar_152_12_38_284_gadm2-8,mar_152_12_38_284_974_gadm2-8,
AGB,deu_86_gadm2-8,deu_86_2_gadm2-8,deu_86_2_46_gadm2-8,deu_86_2_46_464_gadm2-8,deu_86_2_46_464_1106_gadm2-8,
AGC,usa_244_gadm2-8,usa_244_39_gadm2-8,usa_244_39_2250_gadm2-8,,,
AGD,idn_106_gadm2-8,idn_106_7_gadm2-8,idn_106_7_61_gadm2-8,,,
AGE,deu_86_gadm2-8,deu_86_9_gadm2-8,deu_86_9_208_gadm2-8,deu_86_9_208_2877_gadm2-8,deu_86_9_208_2877_5161_gadm2-8,
AGF,fra_79_gadm2-8,fra_79_2_gadm2-8,fra_79_2_6_gadm2-8,fra_79_2_6_26_gadm2-8,fra_79_2_6_26_207_gadm2-8,fra_79_2_6_26_207_2343_gadm2-8
AGG,png_175_gadm2-8,png_175_5_gadm2-8,png_175_5_19_gadm2-8,,,
AGH,swe_222_gadm2-8,swe_222_14_gadm2-8,swe_222_14_127_gadm2-8,,,
AGI,sur_219_gadm2-8,sur_219_5_gadm2-8,sur_219_5_25_gadm2-8,,,
AGJ,,,,,,
AGK,png_175_gadm2-8,png_175_19_gadm2-8,png_175_19_76_gadm2-8,,,
AGL,png_175_gadm2-8,png_175_17_gadm2-8,png_175_17_68_gadm2-8,,,
AGM,,,,,,
AGN,usa_244_gadm2-8,usa_244_2_gadm2-8,usa_244_2_88_gadm2-8,,,
AGO,usa_244_gadm2-8,usa_244_4_gadm2-8,usa_244_4_122_gadm2-8,,,
AGP,esp_215_gadm2-8,esp_215_1_gadm2-8,esp_215_1_7_gadm2-8,esp_215_1_7_51_gadm2-8,esp_215_1_7_51_667_gadm2-8,
AGQ,grc_89_gadm2-8,grc_89_7_gadm2-8,grc_89_7_12_gadm2-8,grc_89_7_12_257_gadm2-8,,
AGR,ind_105_gadm2-8,ind_105_19_gadm2-8,ind_105_19_339_gadm2-8,ind_105_19_339_1089_gadm2-8,,
AGS,usa_244_gadm2-8,usa_244_11_gadm2-8,usa_244_11_505_gadm2-8,,,
AGT,pry_177_gadm2-8,pry_177_3_gadm2-8,pry_177_3_21_gadm2-8,,,
AGU,mex_145_gadm2-8,mex_145_1_gadm2-8,mex_145_1_1_gadm2-8,,,
AGV,ven_249_gadm2-8,ven_249_19_gadm2-8,ven_249_19_232_gadm2-8,,,
AGW,aus_15_gadm2-8,aus_15_7_gadm2-8,aus_15_7_529_gadm2-8,,,
AGX,ind_105_gadm2-8,ind_105_18_gadm2-8,ind_105_18_289_gadm2-8,ind_105_18_289_935_gadm2-8,,
AGY,deu_86_gadm2-8,deu_86_2_gadm2-8,deu_86_2_54_gadm2-8,deu_86_2_54_588_gadm2-8,deu_86_2_54_588_1286_gadm2-8,
AGZ,zaf_211_gadm2-8,zaf_211_8_gadm2-8,zaf_211_8_44_gadm2-8,zaf_211_8_44_193_gadm2-8,zaf_211_8_44_193_3798_gadm2-8,
AHA,jpn_114_gadm2-8,jpn_114_32_gadm2-8,jpn_114_32_1313_gadm2-8,,,
AHB,sau_200_gadm2-8,sau_200_1_gadm2-8,,,,
AHC,usa_244_gadm2-8,usa_244_5_gadm2-8,usa_244_5_201_gadm2-8,,,
AHD,usa_244_gadm2-8,usa_244_37_gadm2-8,usa_244_37_2145_gadm2-8,,,
AHE,,,,,,
AHF,usa_244_gadm2-8,usa_244_28_gadm2-8,usa_244_28_1689_gadm2-8,,,
AHH,usa_244_gadm2-8,usa_244_50_gadm2-8,usa_244_50_3102_gadm2-8,,,
AHI,,,,,,
AHJ,chn_49_gadm2-8,chn_49_26_gadm2-8,chn_49_26_288_gadm2-8,chn_49_26_288_1996_gadm2-8,,
AHL,guy_98_gadm2-8,guy_98_10_gadm2-8,guy_98_10_109_gadm2-8,,,
AHM,usa_244_gadm2-8,usa_244_38_gadm2-8,usa_244_38_2227_gadm2-8,,,
AHN,usa_244_gadm2-8,usa_244_11_gadm2-8,usa_244_11_413_gadm2-8,,,
AHO,ita_112_gadm2-8,ita_112_14_gadm2-8,ita_112_14_79_gadm2-8,ita_112_14_79_6268_gadm2-8,,
AHS,hnd_101_gadm2-8,hnd_101_9_gadm2-8,hnd_101_9_138_gadm2-8,,,
AHT,,,,,,
AHU,mar_152_gadm2-8,mar_152_15_gadm2-8,mar_152_15_52_gadm2-8,mar_152_15_52_374_gadm2-8,mar_152_15_52_374_1400_gadm2-8,
AHW,omn_170_gadm2-8,omn_170_6_gadm2-8,omn_170_6_25_gadm2-8,,,
AHY,mdg_134_gadm2-8,mdg_134_6_gadm2-8,mdg_134_6_22_gadm2-8,mdg_134_6_22_109_gadm2-8,mdg_134_6_22_109_1411_gadm2-8,
AHZ,fra_79_gadm2-8,fra_79_22_gadm2-8,fra_79_22_93_gadm2-8,fra_79_22_93_340_gadm2-8,fra_79_22_93_340_3569_gadm2-8,fra_79_22_93_340_3569_35235_gadm2-8
AIA,usa_244_gadm2-8,usa_244_28_gadm2-8,usa_244_28_1663_gadm2-8,,,
AIB,,,,,,
AIC,mhl_140_gadm2-8,,,,,
AID,usa_244_gadm2-8,usa_244_15_gadm2-8,usa_244_15_744_gadm2-8,,,
AIE,png_175_gadm2-8,png_175_11_gadm2-8,png_175_11_47_gadm2-8,,,
